"Freq [GHz]","dB(S(2,1)) []","dB(S(2,1))_1 []"
31.22,-31.5596241440835,-31.9499322876041
31.23,-32.2113043334171,-32.5930371766649
31.24,-32.8514466481157,-33.2249566238711
31.25,-33.48047856951,-33.8460945954381
31.26,-34.0988021643905,-34.4568317644929
31.27,-34.7067960695844,-35.0575272613677
31.28,-35.3048172976715,-35.6485202747429
31.29,-35.8932028799924,-36.2301315156923
31.3,-36.4722713621387,-36.8026645562758
31.31,-37.0423241659774,-37.3664070537335
31.32,-37.6036468310914,-37.9216318705783
31.33,-38.1565101473697,-38.4685981001159
31.34,-38.7011711893453,-39.0075520061021
31.35,-39.2378742618628,-39.5387278845092
31.36,-39.7668517656795,-40.0623488546109
31.37,-40.2883249907395,-40.5786275859389
31.38,-40.8025048440542,-41.0877669670166
31.39,-41.3095925184162,-41.5899607212137
31.4,-41.8097801075212,-42.0853939745334
31.41,-42.3032511725005,-42.5742437796724
31.42,-42.7901812643506,-43.0566796002698
31.43,-43.2707384062898,-43.5328637588715
31.44,-43.7450835396487,-44.0029518517931
31.45,-44.2133709365577,-44.4670931337546
31.46,-44.6757485823452,-44.9254308748804
31.47,-45.1323585302807,-45.3781026924063
31.48,-45.5833372310542,-45.8252408592199
31.49,-46.0288158390978,-46.2669725911443
31.5,-46.4689204977272,-46.7034203147147
31.51,-46.9037726048274,-47.134701917015
31.52,-47.3334890606629,-47.5609309790165
31.53,-47.758182499288,-47.9822169937087
31.54,-48.1779615048091,-48.398665570218
31.55,-48.5929308137194,-48.8103786249853
31.56,-49.0031915043822,-49.2174545609846
31.57,-49.4088411746305,-49.6199884358866
31.58,-49.8099741083768,-50.0180721199795
31.59,-50.2066814320879,-50.4117944446012
31.6,-50.5990512618134,-50.8012413417673
31.61,-50.9871688414877,-51.1864959756235
31.62,-51.3711166731489,-51.5676388663006
31.63,-51.7509746395827,-51.9447480066997
31.64,-52.1268201200066,-52.3178989726961
31.65,-52.4987280991812,-52.6871650272109
31.66,-52.8667712704917,-53.0526172185577
31.67,-53.2310201333244,-53.4143244734529
31.68,-53.5915430851769,-53.7723536850302
31.69,-53.9484065088027,-54.1267697961946
31.7,-54.3016748547631,-54.4776358786053
31.71,-54.6514107196249,-54.8250132075716
31.72,-54.9976749201326,-55.1689613331139
31.73,-55.3405265635656,-55.5095381474305
31.74,-55.6800231145492,-55.8467999489904
31.75,-56.0162204585338,-56.1808015034529
31.76,-56.3491729620971,-56.5115961016131
31.77,-56.678933530341,-56.8392356145381
31.78,-57.005553661495,-57.16377054607
31.79,-57.329083498898,-57.4852500828399
31.8,-57.6495718805362,-57.8037221419439
31.81,-57.9670663862614,-58.1192334164069
31.82,-58.2816133828088,-58.4318294185614
31.83,-58.5932580667734,-58.7415545214622
31.84,-58.9020445055969,-59.048451998436
31.85,-59.2080156767837,-59.3525640608751
31.86,-59.511213505302,-59.6539318943676
31.87,-59.8116788993802,-59.9525956932539
31.88,-60.1094517847355,-60.2485946936886
31.89,-60.4045711373366,-60.541967205296
31.9,-60.6970750147263,-60.832750641479
31.91,-60.9870005860963,-61.1209815484623
31.92,-61.2743841610153,-61.4066956331286
31.93,-61.5592612170146,-61.6899277897103
31.94,-61.8416664260522,-61.9707121253907
31.95,-62.1216336798499,-62.2490819848768
31.96,-62.3991961142495,-62.5250699739826
31.97,-62.6743861326004,-62.7987079822825
31.98,-62.9472354281511,-63.0700272048723
31.99,-63.2177750056583,-63.3390581632833
32,-63.4860352020918,-63.6058307255864
32.01,-63.7520457065494,-63.8703741257312
32.02,-64.0158355794254,-64.132716982144
32.03,-64.277433270836,-64.3928873156371
32.04,-64.5368666383754,-64.6509125666386
32.05,-64.7941629641683,-64.9068196117894
32.06,-65.0493489713373,-65.1606347799335
32.07,-65.3024508398362,-65.412383867521
32.08,-65.553494221714,-65.6620921534624
