"Freq [GHz]","im(S(2,1)) []","re(S(2,1)) []"
35.72,0.000173838137304562,-6.72035322736508E-05
35.74,0.000174336006670622,-6.51156944495637E-05
35.76,0.00017482782150232,-6.30326847209966E-05
35.78,0.000175313686965051,-6.09540670011241E-05
35.8,0.000175793700481858,-5.88794093843869E-05
35.82,0.000176267951863392,-5.68082839898312E-05
35.84,0.000176736523429787,-5.47402668084979E-05
35.86,0.000177199490125327,-5.26749375553398E-05
35.88,0.000177656919625474,-5.06118795251828E-05
35.9,0.000178108872437012,-4.85506794529777E-05
35.92,0.000178555401991279,-4.64909273780802E-05
35.94,0.00017899655473049,-4.4432216512583E-05
35.96,0.000179432370187973,-4.23741431138075E-05
35.98,0.000179862881061717,-4.03163063606142E-05
36,0.000180288113282116,-3.82583082338635E-05
