"Freq [GHz]","dB(S(1,2)) []"
34.08,-72.4553298352151
34.09,-72.5053966273757
34.1,-72.5550500264238
34.11,-72.6042917900524
34.12,-72.653123660807
34.13,-72.7015473662605
34.14,-72.7495646191678
34.15,-72.7971771176513
34.16,-72.8443865453417
34.17,-72.8911945715555
34.18,-72.9376028514441
34.19,-72.9836130261592
34.2,-73.0292267230003
34.21,-73.0744455555691
34.22,-73.119271123924
34.23,-73.163705014727
34.24,-73.2077488013898
34.25,-73.2514040442207
34.26,-73.29467229057
34.27,-73.337555074968
34.28,-73.3800539192676
34.29,-73.4221703327825
34.3,-73.4639058124244
34.31,-73.505261842835
34.32,-73.5462398965215
34.33,-73.5868414339931
34.34,-73.627067903879
34.35,-73.6669207430686
34.36,-73.7064013768343
34.37,-73.7455112189552
34.38,-73.7842516718399
34.39,-73.8226241266581
34.4,-73.860629963448
34.41,-73.8982705512435
34.42,-73.9355472481925
34.43,-73.9724614016707
34.44,-74.0090143483969
34.45,-74.0452074145505
34.46,-74.0810419158765
34.47,-74.1165191578034
34.48,-74.1516404355486
34.49,-74.1864070342305
34.5,-74.2208202289677
34.51,-74.2548812849969
34.52,-74.288591457763
34.53,-74.3219519930344
34.54,-74.3549641269987
34.55,-74.3876290863629
34.56,-74.419948088456
34.57,-74.4519223413213
34.58,-74.4835530438258
34.59,-74.5148413857362
34.6,-74.5457885478337
34.61,-74.5763957019961
34.62,-74.6066640112884
34.63,-74.6365946300615
34.64,-74.6661887040406
34.65,-74.6954473704089
34.66,-74.7243717578984
34.67,-74.7529629868766
34.68,-74.781222169434
34.69,-74.8091504094674
34.7,-74.8367488027606
34.71,-74.8640184370722
34.72,-74.8909603922113
34.73,-74.9175757401198
34.74,-74.9438655449576
34.75,-74.9698308631725
34.76,-74.9954727435801
34.77,-75.0207922274444
34.78,-75.0457903485478
34.79,-75.0704681332701
34.8,-75.094826600658
34.81,-75.1188667625008
34.82,-75.142589623401
34.83,-75.1659961808424
34.84,-75.1890874252665
34.85,-75.2118643401384
34.86,-75.234327902007
34.87,-75.2564790805876
34.88,-75.2783188388136
34.89,-75.2998481329125
34.9,-75.321067912462
